Code,Name,BranchCode
FMCG,FMCG,1
Finance,Finance,2
CCO,CCO,3
Risk and Compliance,Risk and Compliance,4
Projects & Maintenance,Projects & Maintenance,5
Fresh Food,Fresh Food,6
Management,Management,4
Human Resources,Human Resources,4
Warehouse,Warehouse,4
Purchasing,Purchasing,4
Commercial,Commercial,4
Information Technology,Information Technology,4
Operations,Operations,2
Quality Control,Quality Control,2
Marketing,Marketing,2
None Food,None Food,2
Business Cycle,Business Cycle,1
Financial Control and Internal Audit,Financial Control and Internal Audit,1
Customer Service,Customer Service,1
Fresh Food,Fresh Food,1
Legal,Legal,1
